Productcode;Barcode;Artikelcode;Productcode leverancier;Tags;Grading
136239429;8720246686722, 2950021296051;HOM20608;HOM20608, X001FP26CH, 2950021296051;Grading, Damaged;Het motortje werkt niet goed waardoor de klep niet helemaal open en dicht gaat - schroeven zijn verroest – prullenbak valt steeds dicht| The motor does not work properly, causing the lid not to open and close completely – The screws are rusted – The trash can keeps closing|?????? ?? ???? ???? ????? ??? ???? ?????? ?? ???? ??? ???? ??????? – ??????? ???? – ??? ???????? ???? ????????
136239453;8720246687736, 2950021543766;HOM20825 FONIX-42B Black;HOM20825, FONIX-42B, 2950021543766;Grading;Deksel opent niet altijd en gaat na het sluiten weer vanzelf open waardoor het deksel open blijft staan| The lid does not always open and reopens by itself after closing, causing it to stay open| ?????? ?? ???? ??????? ????? ???? ???????? ??? ???????? ??? ????? ??? ???????.
137396673;8719075227329, 2950012532731;GG0856;GG0856, X0015VC27F, 2950012532731;Grading;Een deel van de lampen werkt niet| Some of the lights do not work| ??? ?? ???????? ?? ????.
138477121;8711252474427;871125247442;871125247442;Grading;Product veert niet – product is niet compleet – product werkt niet| Product does not spring – product is incomplete – product does not work| ?????? ?? ???? – ?????? ??? ????? – ?????? ?? ????
138477170;8711252138176;871125213817;871125213817;Grading;Werkt niet goed| Does not work properly| ?? ???? ???? ???
138477194;8711252249827;871125224982;871125224982;Grading;Batterij doet het niet| The battery does not work| ???????? ?? ????
138477233;8711252185545;871125218554;871125218554;Grading;"De houder waar de waterkoker op moet plaatsen is defect, er zitten diverse onderdelen Los. Ook krijg je de waterkoker er niet op, dus doet hij het ook niet| The base where the kettle should be placed is defective; several parts are loose. You also cannot place the kettle on it, so it doesn’t work| ??????? ???? ??? ??? ??????? ????? ?????? ????? ??? ????? ?????. ?? ???? ??? ??????? ?????? ???????? ??? ?? ????."
138477281;8711252548470;871125254847;871125254847;Grading;De deksel is in stukken gebroken – de waterkoker gaat niet aan| The lid is broken into pieces – the kettle does not turn on| ?????? ????? ??? ??? – ??????? ?? ????
138477332;8711252184838;871125218483;871125218483;Grading, Damaged;Product is afgebroken – kapotte onderdelen product kan niet in elkaar worden gezet – koppelstuk gebroken| Product is broken – damaged parts, product cannot be assembled – connector piece is broken| ?????? ????? – ????? ?????? ?? ???? ????? ?????? – ???? ??????? ??????
138477353;8711252085395;871125208539;871125208539;Grading;Het servies is gebroken| The tableware is broken| ???? ??????? ??????
138477410;8711252228730;871125222873;871125222873;Grading;Het bord is gescheurd na het eerste gebruik – product niet compleet – bal is lek| The plate cracked after the first use – product is incomplete – ball is leaking| ???? ????? ??? ??? ??????? – ?????? ??? ????? – ????? ??????
138490005;8711252187228;871125218722;871125218722;Grading;Weegschaal begint met meten en geeft veel cijfers. Registreert uiteindelijk niks en valt uit – weegschaal blijft op 0 staan – gaat niet aan| The scale starts measuring and displays many numbers but ultimately records nothing and turns off – the scale stays at 0 – does not turn on| ???? ??????? ??????? ????? ?????? ?? ??????? ????? ?? ???? ?? ??? ?? ??????? ?????? – ???? ??????? ??? ????? 0 – ?? ????
138490198;4895229104440;489522910444;489522910444;Grading;De CD-lade zit vast/werkt niet – het apparaat kan niet worden gestart – DVD speler geeft disk error en kan de dvd niet laden/afspelen| The CD tray is stuck/does not work – the device cannot be started – DVD player shows a disk error and cannot load/play the DVD| ??? ????????? ???? / ?? ???? – ?? ???? ????? ?????? – ???? DVD ???? ??? ?? ????? ??? ????? ????? / ????? ??? DVD
138490237;8711252182216;871125218221;871125218221;Grading;Plaat wordt niet warm – plaat wordt heel even warm en valt daarna uit| The plate does not heat up – the plate gets warm briefly and then shuts off| ????? ?? ???? – ???? ????? ????? ????? ?? ?????
138490250;8711252187808;871125218780;871125218780;Grading;Gloeistaaf is kapot – lamp gebroken| Heating element is broken – lamp is broken| ???? ??????? ????? – ??????? ?????
138502868;8711252249889;871125224988;871125224988;Grading;De afstandsbediening gaat niet aan en ook niet met een nieuwe batterij. Hierdoor is verbinden met bluetooth niet mogelijk – zit los en blijft niet vast zitten| The remote control does not turn on, even with a new battery. As a result, connecting via Bluetooth is not possible – it is loose and does not stay in place| ???? ?????? ?? ???? ??? ?? ?????? ?????? ???????? ?? ???? ??????? ??? ???????? – ?????? ??? ???? ??? ???? ?? ?????
138502870;5055374710845;505537471084;505537471084;Grading, Damaged;De headset werkt niet – niet compleet – product gaat niet aan, ook niet na opladen – kan niet verbinden met telefoon| The headset does not work – incomplete – product does not turn on, even after charging – cannot connect to phone| ????? ????? ?? ???? – ?????? ??? ????? – ?? ???? ??? ??? ????? – ?? ???? ?????? ???????
138503002;8711252270104;871125227010;871125227010;Grading;Kan niet in elkaar gezet worden omdat schroefdraad ontbreekt – product niet compleet (schroeven missen)| Cannot be assembled due to missing threads – product not complete (missing screws)| ?? ???? ??????? ???? ???? ???? ?????? - ?????? ??? ????? (?????? ??????)
138503110;8717496633170;871749663317;871749663317;Grading, Damaged;Afstandsbediening doet het niet – stekker doet het niet – product gaat niet aan| Remote control not working – plug not working – product not turning on| ???? ?????? ?? ??? ?? ???? – ?????? ?? ???? – ?????? ?? ????
138503155;8711252182001;871125218200;871125218200;Grading;Frituurpan gaat niet aan – hij verwarmt even, maar stopt er na een tijd mee - de lampjes doen het niet – gebruikssporen (nog vet in de pan)| Deep fryer won't turn on - it heats up for a while but stops after a while - the lights don't work - signs of use (there's still fat in the pan)| ??????? ??????? ?? ???? - ???? ?????? ?????? ????? ??? ???? - ??????? ?? ???? - ?????? ????????? (?? ???? ?????? ?? ???????)
138505245;5035048333693;503504833369;503504833369;Grading;De lader werkt niet als deze is aangesloten om een batterij op te laden – oplader werkt niet| The charger does not work when connected to charge a battery – charger not working| ?????? ?? ???? ??? ?????? ???? ???????? – ?????? ?? ????
138505272;5060285170190;506028517019;506028517019;Grading;De omvormers werken niet naar behoren in meerdere voertuigen aangesloten en heeft kortsluiting veroorzaakt en heeft bij meerdere voertuigen de zekeringen eruit gebrand – product is niet compleet| The inverters are not working properly in multiple vehicles connected and have caused a short circuit and blown the fuses in multiple vehicles – product is not complete| ?? ???? ???????? ???? ???? ?? ?????? ?? ???????? ??????? ??? ????? ?? ???? ??? ??????? ?????? ???????? ?? ?????? ?? ???????? - ?????? ??? ????
138505275;8711252254388, 2950023724132;871125225438;871125225438;Grading;Papier loopt gelijk vast, en gaat niet door met versnipperen – doet het niet| Paper gets stuck immediately and won't continue shredding – doesn't work| ???? ?????? ??? ????? ??? ????? ?? ??????? - ?? ????
138505320;8711252173498;871125217349;871125217349;Grading;Product is niet compleet (onderstuk ventilator mist waardoor die niet kan staan) – schakelaar is defect – draaiknop werkt niet – apparaat gaat niet aan Product is niet compleet (onderstuk ventilator mist waardoor die niet kan staan) – schakelaar is defect – draaiknop werkt niet – apparaat gaat niet aan| Product is not complete (bottom of fan is missing so it cannot stand) – switch is defective – rotary knob does not work – device does not turn on| ?????? ??? ???? (????? ?????? ?? ??????? ????? ??? ?? ?????? ??????) - ??????? ???? - ???? ??????? ?? ???? - ?????? ?? ????
138505342;5012786040564;501278604056;501278604056;Grading;Het product laadt niet op – de oortjes maken geen connectie met bluetooth – slechte batterij valt heel snel uit| The product does not charge – the earphones do not connect to Bluetooth – bad battery runs out very quickly| ?????? ?? ???? – ?????? ????? ?? ???? ????????? – ???????? ???? ?????? ????? ?????
138505369;8711252195735;871125219573;871125219573;Grading;De hoogte-instelknop mist – ventilator is stoffig| The height adjustment knob is missing – fan is dusty| ???? ??? ???????? ????? – ??????? ?????
138505371;8711292132776;871129213277;871129213277;Omdoos, Opvulling, Grading, Damaged;Hele haard is kapot: glasplaat vergruisd, stalen inzet is gebogen, het hout van de mantel op meerdere plaatsen beschadigd| Entire fireplace is broken: glass plate shattered, steel insert bent, wood of mantel damaged in several places| ??????? ??????? ??????: ??? ????? ????? ???? ?????? ????? ???? ?????? ???? ?? ??? ?????|
138509671;6942138916225;694213891622;694213891622;Grading;Luchtbed loopt leeg, ook als er geen gebruik van wordt gemaakt – luchtbed is lek| Airbed deflates even when not in use – airbed is leaking| ????? ?????? ?? ??????? ???????? ??? ????? ?? ???? ??? ????????? – ???????? ???????? ?????
138509793;8711252250090;871125225009;871125225009;Grading;Afstandsbediening werk niet | aan- en uitknop werkt niet
138509939;8711252252315;871125225231;871125225231;Grading;Van de wielen blijft maar een lager in het center zitten. Hierdoor blijft het niet op zijn plek zitten – hij blijft niet staan| Only one bearing remains in the center of the wheels. As a result, it doesn't stay in place – it won’t stand| ????? ???? ???? ??? ?? ???? ???????. ?????? ????? ?? ???? ?? ????? – ?? ????.
138509946;8432406160040;843240616004;843240616004;Omdoos, Grading, Damaged;Product gaat niet aan – motor doet het niet – de blender stopt ermee en is binnen doorgebrand| The product won't turn on – the motor isn't working – the blender has stopped functioning and burned out internally| ?????? ?? ???? – ?????? ?? ???? – ?????? ???? ?? ????? ?????? ?? ??????.
138510011;6942138983043;694213898304;694213898304;Grading;Accu gaat in een nacht leeg – luchtbed is lek| The battery drains overnight – the air mattress is leaking| ???????? ???? ???? ????? – ??????? ???????? ??? ????.
138510030;8711252268934;871125226893;871125226893;Grading;Verkeerde onderdelen geleverd – het voetbaldoel kan niet in elkaar worden gezet| Wrong parts were delivered – the football goal cannot be assembled| ?? ????? ??? ????? – ?? ???? ????? ???? ??? ?????.
138510033;4250116822867;425011682286;425011682286;Grading;Gebruikssporen benzine zit er nog in – gaat aan motor draait, maar de zaag beweegt niet| Signs of use – there's still gasoline in it – it starts, the engine runs, but the saw doesn’t move| ???? ???? ??????? – ?? ???? ???? ????? ??????? – ????? ?????? ?????? ??? ??????? ?? ?????.
138512931;6942138968279;694213896827;694213896827;Grading;Het zwembad is vuil en heel erg verkleurd| The pool is dirty and very discolored| ?????? ????? ???????? ????? ???? ????.
138513032;8711252182094;871125218209;871125218209;Grading;Hij krijgt geen Strom - Lampje brand niet - wordt niet HEET| It’s not receiving power – the light doesn’t turn on – it doesn’t get hot| ?? ??? ???? ?????? – ??????? ?? ???? – ?? ????.
138513065;6951613999424;695161399942;695161399942;Grading;Niet compleet (geen oplaadsnoer) – geleverd met een verkeerd snoer die niet past| Not complete (no charging cable) – delivered with the wrong cable that doesn’t fit| ??? ????? (?? ???? ???? ???) – ?? ??????? ????? ???? ?? ????? ??????.
138513113;8711252485751;871125248575;871125248575;Grading;De bel maakt geen contact met de luidspreker – beschadiging - Zender en ontvanger maken geen continue contact met elkaar| The doorbell doesn’t connect with the speaker – damage – the transmitter and receiver don’t maintain continuous contact| ??? ????? ?? ???? ????? ????? – ???? ??? – ?????? ????????? ?? ??????? ??? ????? ????? ??????.
138513155;8711252170763, 2950020963657;871125217076;871125217076;Grading;Kabel is beschadigd – ventilator draait niet – gebruikssporen – bij het uitpakken van de ventilator was een rammelend geluid te horen – verschillende standen doen het niet – ventilator blijft maar op een snelheid staan|The cable is damaged – the fan doesn’t spin – signs of use – there was a rattling sound when unpacking the fan – several settings don’t work – the fan stays on only one speed|?????? ???? – ??????? ?? ???? – ???? ???? ??????? – ??? ??? ???? ??????? ??? ???? ??? ?????? – ??? ??????? ?? ???? – ??????? ???? ??? ???? ????? ???.
138513250;8711252266220;871125226622;871125226622;Grading;bevestiging stang afgebroken, klikt niet vast, geheel beschadigd, accessoire ontbreekt, verbinding mondstukken gebroken | rod attachment broken, does not click, completely damaged, accessory missing, connection to mouthpieces broken | ????? ?????? ?????? ?? ?????? ???? ???????? ????????? ?????? ??????? ?????? ??????? ?????
138513262;8711252475905;871125247590;871125247590;Grading;Als de knop op stomen gezet wordt en deze wordt groen en klaar voor gebruik dan komt er geen stoom uit - doet het dus niet| When the button is set to steam and it turns green indicating it's ready for use, no steam comes out – so it doesn’t work| ??? ??? ???? ??? ??? ?????? ?????? ??? ????? ?????? ??? ???? ??? ??? ???? ?????????? ?? ???? ?? ???? – ?? ??? ?? ????.
138513286;8711252475332;871125247533;871125247533;Grading;Product werkt niet – gebruikssporen – aan/uitknop werkt niet| The product doesn’t work – signs of use – the on/off button doesn’t function| ?????? ?? ???? – ???? ???? ??????? – ?? ???????/??????? ?? ????
138513358;8711252474120;871125247412;871125247412;Grading;| Water lekt, roestige resten, display gaat niet aan, afstandsbediening kapot, kalk aanwezig, tikkend geluid. | Water leaking, rusty residues, display not turning on, remote broken, limescale present, ticking noise. | ????? ?????? ????? ????? ?????? ?? ????? ???? ?????? ?? ??? ????? ?????? ????? ??????? ??? ???. |
138513381;8711252185682;871125218568;871125218568;Grading;Rook en brandgeur – geeft foutmelding (E1), zodra je het apparaat aan zet - Wordt niet warm terwijl hij wel gaat blazen bak blijft helemaal koud| Smoke and burning smell – shows error message (E1) as soon as the device is turned on – it blows air but doesn’t heat up, the compartment stays completely cold| ???? ?????? ?????? – ???? ????? ??? (E1) ????? ????? ?????? – ??? ?????? ???? ?? ????? ?????? ???? ????? ??????.
138513388;8711252265230;871125226523;871125226523;Grading;Onbruikbaar – incompleet (geen garden) – gebruikssporen – broodbak kan niet uit het apparaat worden gehaald| Unusable – incomplete (no kneading blade) – signs of use – the bread pan cannot be removed from the device| ??? ???? ????????? – ??? ????? (?? ???? ???? ?????) – ???? ???? ??????? – ?? ???? ????? ???? ????? ?? ??????.
138513404;8711252195759;871125219575;871125219575;Grading;Tijdens het in hoogte verstellen en het willen vastzetten liet de knop los (afgeknapt)| While adjusting the height and trying to secure it, the knob snapped off| ????? ????? ???????? ??????? ??????? ????? ??????.
138513435;8711252187792;871125218779;871125218779;Grading;De verwarmingsbuis ligt in stukken in de behuizing – infrarood lampje is gebroken – verwarmingselement is gebroken| The heating tube is shattered inside the housing – the infrared bulb is broken – the heating element is damaged| ????? ??????? ????? ??? ??? ???? ?????? – ??????? ??????? ??? ??????? ????? – ???? ??????? ????.
138513437;8711252265568;871125226556;871125226556;Grading;Product laad niet op - Is alleen te gebruiken bij een 2,4ghz wifi verbinding – opladen duur heel lang| The product doesn’t charge – it only works with a 2.4GHz Wi-Fi connection – charging takes a very long time| ?????? ?? ???? – ???? ??? ?? ????? ??? ??? ????? 2.4 ???????? – ????? ?????? ????? ?????? ????.
138513453;8711252004105;871125200410;871125200410;Grading;| Product valt helemaal uit elkaar. | Product completely falls apart. | ?????? ????? ???????. |
138513454;8711252472706;871125247270;871125247270;Stootrand, Grading;Schade – koelkast bereikt niet de beloofde temperatuur – wordt niet koud| Damage – the fridge does not reach the promised temperature – it doesn’t get cold| ??? – ??????? ?? ??? ??? ???? ??????? ???????? – ?? ????.
138513484;8711252495866;871125249586;871125249586;Grading;Het waterreservoir blijft leeg na uren draaien in een vochtige ruimte – product doet het niet – geen gebruiksaanwijzing| The water reservoir stays empty after hours of running in a humid room – the product doesn’t work – no user manual| ???? ????? ???? ?????? ??? ????? ?? ??????? ?? ???? ???? – ?????? ?? ???? – ?? ???? ???? ???????.
138513491;8711252195872;871125219587;871125219587;Palletzending;wieltje afgebroken, bevestigingsring gescheurd, handleiding verkeerd, apparaat defect, geen koeling | wheel broken, connection ring torn, wrong manual, device defective, no cooling | ?????? ??????? ???? ??????? ?????? ???? ????? ?????? ????? ?? ????
138520183;8016738768770;801673876877;801673876877;Grading, Damaged;De hendel voor naar boven te trekken en voor naar beneden te doen ontbreekt zit niet in de doos – apparaat lekt - Het aluminium verdeelblok is gescheurd en daardoor lucht verlies - geen glaasje aanwezig op de manometer en de ombouw beschadigd|The handle for pulling up and pushing down is missing – not included in the box – the device leaks – the aluminum distribution block is cracked, causing air loss – the gauge has no glass – the casing is damaged|?????? ???????? ????? ?????? ????? – ??? ????? ?? ?????? – ?????? ???? – ???? ??????? ???????? ?? ????????? ?????? ??? ???? ??? ???? ?????? – ?? ???? ???? ??? ????? ????? – ?????? ??????? ?????.
138520243;4895229103429;489522910342;489522910342;Grading;Beeld verdwijnt bij hanteren hoorn – beeld knippert steeds| The image disappears when handling the handset – the screen keeps flickering| ????? ?????? ??? ??????? ?? ??????? – ?????? ???? ????????.
138542957;8711252182414;8,71125E+11;8,71125E+11;Grading;De onderste doet het niet - Hij verwarmt alleen halve kracht – product gaat niet aan| The lower part doesn’t work – it only heats at half power – the product won’t turn on| ????? ?????? ?? ???? – ???? ??? ???? ????? – ?????? ?? ????.
138542981;8711252182124;8,71125E+11;8,71125E+11;Grading;De bovenste/onderste lamp doet het niet - bij 400 watt gaat het kacheltje helemaal uit
138543039;8016738768763;8,01674E+11;8,01674E+11;Grading;Ernstig beschadigd - druk regelaar is afgebroken - duidelijk al gebruikt - de koppeling naar de slang (insteeknippel) lekt volledig lucht als hij op druk brengt| Severely damaged – pressure regulator is broken off – clearly used – the coupling to the hose (insert nipple) leaks air completely when pressurized| ???? ???? ???? – ???? ????? ????? – ???? ??? ?????? – ?????? ??? ??????? (???????) ???? ?????? ??????? ??? ?????.
138543041;8711252182421;8,71125E+11;8,71125E+11;Grading;Hij doet helemaal niets - reageert op geen enkele knop – het middelste lampje doet het niet| It does nothing at all – doesn’t respond to any button – the middle light doesn’t work| ?? ???? ??????? – ?? ?????? ??? ?? – ????? ?????? ?? ????.
138543123;8711252251509;8,71125E+11;8,71125E+11;Grading, Damaged;Het product gaat wel aan, maar de ventilator draait helemaal niet| The product turns on, but the fan doesn’t spin at all| ?????? ????? ??? ??????? ?? ???? ?????.
138543269;8016738771503;8,01674E+11;8,01674E+11;Grading, Damaged;Compressor slaat niet aan, uit zichzelf als de druk terug loopt - Het pinnetje+ring en het rode kapje zijn foetsie op de geleverde compressor en daar lekt het continu -de sluiting aan de achterkant van de compressor is kapot, waardoor de tank niet gevuld kan worden| The compressor doesn’t start automatically when the pressure drops – the pin, ring, and red cap are missing from the delivered compressor, causing a continuous leak – the rear closure of the compressor is broken, so the tank can’t be filled| ?????? ?? ???? ???????? ??? ?????? ????? – ?????? ??????? ??????? ?????? ??????? ?? ?????? ????????? ??? ???? ?????? ??????? – ??????? ?????? ?????? ?????? ???????? ?? ???? ????? ??????.
138543272;5055374714225;5,05537E+11;5,05537E+11;Grading;slechte verbinding, geen beeld op monitor, incompleet | poor connection, no image on monitor, incomplete | ????? ????? ?? ???? ???? ??? ??????? ??? ?????
139118727;8711252171944;71944;71944;Grading;Kachel gaat niet aan – kachel warmt niet op – maakt veel lawaai – koude lucht| The heater doesn’t turn on – it doesn’t heat up – makes a lot of noise – blows cold air| ??????? ?? ???? – ?? ???? – ???? ?????? ?????? – ???? ????? ??????.
139219299;8008004115272;PAT1200;PAT1200;Grading;werkt niet, oog/verwarmingselement defect, buitenkant beschadigd, los onderdeel, spiraal los, sticker ontbreekt | not working, eye/heating element defective, exterior damaged, loose part, coil loose, sticker missing | ?? ????? ???? ???????/????? ??????? ????? ??????? ????? ??? ?????? ????? ?????? ?????? ?????
139396824;5012786039841;39841;39841;Grading;een oordopje doet het niet – oordopjes maken geen verbinding| One earbud doesn’t work – the earbuds won’t connect| ??? ????????? ?? ???? – ????????? ?? ??????.
139468668;8719075226988, 2950009070512;GG0831;GG0831, X0010SCOO9, 2950009070512;Omdoos, Grading;Elementen niet gebroken! Apparaat word niet warm – de deksel blijft niet op het apparaat zitten - de machine gaat nog wel aan, maar hij draait/circuleert niet meer| The device does not get warm – The lid does not stay on the device – The machine still turns on, but it no longer spins/circulates| ?????? ?? ???? – ?????? ?? ???? ??? ?????? – ????? ???? ?????? ?? ????/?? ????? ??? ????.
139468672;8719075226698, 2950005905627;GG0810;GG0810, X000X47EIH, 2950005905627;Grading;Lichtjes doen het niet – product werkt niet naar behoren| The lights do not work – The product does not function properly| ??????? ?? ???? – ?????? ?? ???? ???? ????.
139468850;8719075225424, 2950003074332;GG0732;GG0732, X000QXBKPD, 2950003074332;Grading;Product blijft niet staan – apparaat gaat niet aan – wordt niet warm| The product does not stand up – The device does not turn on – It does not get warm| ?????? ?? ??? – ?????? ?? ???? – ?? ????.
139468960;8719075227886, 2950018354443, X001BGLAP9, B08WHQ7Z3F;GG0912;GG0912, X001BGLAP9, 2950018354443;Grading;Het product kan niet in elkaar worden gezet – product is niet compleet (schroef ontbreekt) - de schroeven in de stekers zitten gewoon anders als het hoort – uit het product kwam aarde| The product cannot be assembled – The product is incomplete (screw is missing) – The screws in the connectors are placed incorrectly – Dirt came out of the product| ?? ???? ????? ?????? – ?????? ??? ????? (?????? ?????) – ??????? ?? ???????? ?????? ???? ??? ???? – ???? ???? ?? ??????.
139469036;8719075227763;GG0900-1;GG0900-1, X001CEUH4F, 2950018351862;Grading;De aan en uit knop doet het niet| The on/off button does not work| ?? ???????/????? ?? ????.
139469104;8719075228555, 2950024680857, X001HRO7B1, 2950013748186;GG0979;GG0979, X001HRO7B1,;Grading;De lamp wil niet uit -  is niet regelbaar qua licht intensiteit – product laad niet op – product gaat niet aan, terwijl die helemaal opgeladen is – product is niet compleet| The light won't turn off – The light intensity is not adjustable – The product does not charge – The product does not turn on, even though it is fully charged – The product is incomplete| ????? ?? ????? – ??? ????? ??? ????? ??????? – ?????? ?? ???? – ?????? ?? ???? ??? ??? ????? ??????? – ?????? ??? ?????.
139469131;8719075227817, X001B961MX;GG0905;GG0905, X001B961MX, 2950018352456;Grading;Lampje is defect werkt niet, ook niet nadat het lampje uren in de zon heeft gestaan| The light is defective and does not work, even after being in the sun for hours| ??????? ???? ??? ????? ??? ??? ?? ??? ?? ????? ???? ?????.
139469363;8719075224434, 2950001985999;GG0612;GG0612, X000OV9IID, 2950001985999;Grading;Houder voor de afzuigkop is defect – warmt niet op – product is vies – product wordt heel even warm, stopt daarna| The holder for the extractor head is defective – It does not heat up – The product is dirty – The product heats up briefly, then stops| ?????? ???? ????? ???? – ?? ???? – ?????? ???? – ?????? ???? ????? ????? ?? ?????.
139469391;8719075227312;GG0855;GG0855, X0015VAXKX, 2950012532748, X0015VAXKX;Grading;Lamp werkt niet, gaat na opladen niet aan| The lamp does not work, it does not turn on after charging| ??????? ?? ????? ?? ????? ??? ?????.
139469527;8719075227831, 2950018353651;GG0907;GG0907, X001B91FWJ, 2950018353651;Grading;Er zitten geen solaronderdelen bij – product is niet compleet| There are no solar components included – The product is incomplete| ?? ???? ?????? ????? ????? – ?????? ??? ?????.
139469927;8719699300859, 2950006513937;KA00001;KA00001, 2950006513937;Grading, Damaged;Product is gebroken| The product is broken| ?????? ?????.
139469937;8719699301030, 2950005270138;BA-426;BA-426, 2950005270138, B07JP1VYMH;Grading;Er zit een scheur in de plank – plank is doorgescheurd|There is a crack in the shelf – The shelf is torn| ???? ?? ?? ???? – ???? ?????.
139670518;5012786180284;80284;80284;Grading;Onderdeel van de babyfoon gaat niet aan - de baby ontvanger werkt niet – gaat niet aan| Part of the baby monitor doesn’t turn on – the baby unit doesn’t work – it won’t power on| ??? ?? ???? ?????? ????? ?? ???? – ???? ????? ?? ???? – ?? ?????.
139757022;6941607313206;13206;13206;Grading;Duidelijke gebruikssporen – onderdelen ontbreken (vinnen missen)| Clear signs of use – parts are missing (fins are absent)| ???? ??????? ????? – ????? ?????? (??????? ??? ??????).
